13. NAJČEŠĆA PREZIMENA, POPIS 2011.;;;;;;;;;;;;
Ime županije;Grad ili općina;"Ime grada ili
općine";Najčešća prezimena 1);;;;;;;;;
;;;1;2;3;4;5;6;7;8;9;10
Republika Hrvatska; ;;HORVAT;KOVAČEVIĆ;BABIĆ;MARIĆ;JURIĆ;NOVAK;KOVAČIĆ;KNEŽEVIĆ;VUKOVIĆ;MARKOVIĆ
Zagrebačka; ;;HORVAT;KOVAČIĆ;KOS;NOVOSEL;KOVAČEVIĆ;MARIĆ;BOŽIĆ;BABIĆ;KRALJ;FILIPOVIĆ
Zagrebačka;Grad;Dugo Selo;MARIĆ;PERKOVIĆ;KLARIĆ;MATIĆ;GRGIĆ;TOMIĆ;ŠARIĆ;HORVAT;JAKOVIĆ;FILIPOVIĆ
Zagrebačka;Grad;Ivanić-Grad;JOVANOVIĆ;HORVAT;VUKOVIĆ;BABIĆ;BILANDŽIJA;BARILIĆ;MARKOVIĆ;KUNEK;MIHALJEVIĆ;NIKOLIĆ
Zagrebačka;Grad;Jastrebarsko;NOVOSEL;FABIJANIĆ;DOMJANČIĆ;IVANČIĆ;BORKOVIĆ;BUDINŠĆAK;GOJŠIĆ;JURKOVIĆ;KUNOVIĆ;RUBINIĆ
Zagrebačka;Grad;Samobor;HORVAT;BAŠIĆ;RAZUM;RUBINIĆ;FRESL;ŠOIĆ;KOS;MATIJAŠČIĆ;KUPRES;BOŠNJAK
Zagrebačka;Grad;Sveta Nedelja;VLAŠIĆ;HORVAT;GOLUBIĆ;ČAKANIĆ;ŠEKETA;VOJVODIĆ;KLEMENČIĆ;ZLODI;ŠABARIĆ;PETRAVIĆ
Zagrebačka;Grad;Sveti Ivan Zelina;ANTOLKOVIĆ;KOS;POSAVEC;DANANIĆ;FILIPOVIĆ;ŽIGROVIĆ;KRALJ;POLDRUGAČ;PRUGOVEČKI;KOŽIĆ
Zagrebačka;Grad;Velika Gorica;KOVAČIĆ;KOS;KOVAČEVIĆ;STEPANIĆ;MATKOVIĆ;MATIĆ;BARIŠIĆ;ČUNČIĆ;JANKOVIĆ;HORVAT
Zagrebačka;Grad;Vrbovec;KRALJ;PAVIĆ;ABRAMOVIĆ;JURIĆ;PANKRETIĆ;TURK;KOLIĆ;PETRAK;GREŽINA;ANTOLKOVIĆ
Zagrebačka;Grad;Zaprešić;HORVAT;KOVAČ;TUCMAN;MILIĆ;POKUPEC;JURIĆ;BABIĆ;JANDRAS;ŠIMUNIĆ;BARUN
Zagrebačka;Općina;Bedenica;BIČAK;MAHNET;KRANJEC;KUDELIĆ;ČEHULIĆ;GORIČKI;NEMČIĆ;TUKOVIĆ;BUKOVEC;ŠKLEDAR
Zagrebačka;Općina;Bistra;ERŠEK;ŠKRLIN;LEŠNJAK;ŠPOLJAR;GULIĆ;ŠKREBLIN;ŠIMUNIĆ;CAR;PRŠA;BOROVEC
Zagrebačka;Općina;Brckovljani;PERIĆ;DAROJKOVIĆ;JOZIĆ;MARIĆ;BOŽIĆ;MARKOVIĆ;TUNIĆ;JAKOVIĆ;GRGIĆ;KATIĆ
Zagrebačka;Općina;Brdovec;FILIPČIĆ;ŠOŠTARIĆ;NOVAK;KOVAČIĆ;HORVATIĆ;JAKOVINA;HRIBAR;KATUŠIĆ;BELUHAN;REŠETAR
Zagrebačka;Općina;Dubrava;BABIĆ;BRADIĆ;HORVAT;SEVER;HRGIĆ;KOVAČEVIĆ;KOZUMPLIK;KOVAČIĆ;KATALENAC;SENJANEC
Zagrebačka;Općina;Dubravica;STIPERSKI;HORVAT;ŠTRITOF;NEMČIĆ;GOLUB;ŠMAGUC;HUDINA;IVANUŠ;ČUK;FABIJANEC
Zagrebačka;Općina;Farkaševac;BOŽIĆ;KOS;JELIĆ;KARAN;BUKAL;JEMBRI;ĐURIČIĆ;NOVAK;POLJAK;ORŠULIĆ
Zagrebačka;Općina;Gradec;KELEKOVIĆ;DONČEVIĆ;FILIPČIĆ;BARIČEVIĆ;JEŽIĆ;KALINSKI;SALAJ;TOKALIĆ;BLAŽINOVIĆ;HMELINA
Zagrebačka;Općina;Jakovlje;BRCKO;SENIČIĆ;HORVATOVIĆ;KOVAČEC;KOVAČ;JAGUŠT;GAJSKI;CIPEK;POTURICA;IVČEK
Zagrebačka;Općina;Klinča Sela;KELEČIĆ;MARETIĆ;PUČAR;SAKOMAN;GRADSKI;BUDIŠĆAK;BENCETIĆ;PUSTAJ;JURATOVIĆ;BAŠIĆ
Zagrebačka;Općina;Kloštar Ivanić;BRCKO;FILIPOVIĆ;BUNJEVAC;GORIĆ;TUČKORIĆ;NOVAKOVIĆ;ŠIMUNOVIĆ;PAVANIĆ;IVAKOVIĆ;TUTIĆ
Zagrebačka;Općina;Krašić;PENIĆ;MATKO;ŽALAC;STEPINAC;ĆUK;BREBRIĆ;PETKOVIĆ;NOVOSEL;KRNEŽIĆ;KUHARIĆ
